skill,category,count,percentage,rank
Machine Learning,DS/ML Concepts,1103,19.11,1
LLM,DS/ML Concepts,436,7.55,2
Generative AI,DS/ML Concepts,395,6.84,3
Python,Programming Languages,238,4.12,4
Large Language Models,DS/ML Concepts,182,3.15,5
Computer Vision,DS/ML Concepts,170,2.94,6
NLP,DS/ML Concepts,148,2.56,7
Prompt Engineering,DS/ML Concepts,131,2.27,8
Azure,Cloud Platforms,128,2.22,9
Excel,Misc Tools,109,1.89,10
Data Pipeline,Data Engineering,89,1.54,11
RAG,DS/ML Concepts,84,1.46,12
Deep Learning,DS/ML Concepts,83,1.44,13
Agile,Methodologies,77,1.33,14
AWS,Cloud Platforms,70,1.21,15
Natural Language Processing,DS/ML Concepts,67,1.16,16
SQL,Programming Languages,66,1.14,17
Recommendation Systems,DS/ML Concepts,60,1.04,18
Oracle DB,Databases,58,1.0,19
CSS,Web & API,47,0.81,20
iOS,Mobile,45,0.78,21
Classification,DS/ML Concepts,41,0.71,22
Android,Mobile,41,0.71,23
GCP,Cloud Platforms,38,0.66,24
Databricks,Data Engineering,36,0.62,25
CI/CD,DevOps & MLOps,35,0.61,26
Cybersecurity,Security,34,0.59,27
Java,Programming Languages,26,0.45,28
PyTorch,ML/DL Frameworks,23,0.4,29
Node.js,Web & API,23,0.4,30
PostgreSQL,Databases,20,0.35,31
React,Web & API,20,0.35,32
Google Cloud,Cloud Platforms,19,0.33,33
Model Deployment,DS/ML Concepts,19,0.33,34
Docker,DevOps & MLOps,17,0.29,35
Snowflake,Data Engineering,17,0.29,36
MySQL,Databases,16,0.28,37
Express.js,Web & API,16,0.28,38
Apache Spark,Data Engineering,16,0.28,39
Linux,DevOps & MLOps,15,0.26,40
JavaScript,Programming Languages,15,0.26,41
Kubernetes,DevOps & MLOps,14,0.24,42
Reinforcement Learning,DS/ML Concepts,14,0.24,43
TensorFlow,ML/DL Frameworks,13,0.23,44
Salesforce,Misc Tools,13,0.23,45
ETL,Data Engineering,13,0.23,46
MongoDB,Databases,12,0.21,47
Data Modeling,Data Engineering,12,0.21,48
Statistical Analysis,DS/ML Concepts,12,0.21,49
R,Programming Languages,11,0.19,50
GitHub,DevOps & MLOps,11,0.19,51
C++,Programming Languages,11,0.19,52
Git,DevOps & MLOps,11,0.19,53
SAP,Misc Tools,10,0.17,54
TypeScript,Programming Languages,10,0.17,55
Power BI,Visualization & BI,9,0.16,56
Slack API,Misc Tools,9,0.16,57
Data Warehousing,Data Engineering,8,0.14,58
Feature Engineering,DS/ML Concepts,8,0.14,59
Hugging Face,ML/DL Frameworks,7,0.12,60
Tableau,Visualization & BI,7,0.12,61
C#,Programming Languages,7,0.12,62
Neural Networks,DS/ML Concepts,7,0.12,63
SageMaker,Cloud Platforms,7,0.12,64
scikit-learn,ML/DL Frameworks,7,0.12,65
Regression,DS/ML Concepts,6,0.1,66
MLflow,ML/DL Frameworks,6,0.1,67
FastAPI,Web & API,6,0.1,68
Scrum,Methodologies,6,0.1,69
Scala,Programming Languages,5,0.09,70
Gradient Boosting,DS/ML Concepts,5,0.09,71
GitLab,DevOps & MLOps,5,0.09,72
Vue.js,Web & API,5,0.09,73
Pandas,Data Engineering,4,0.07,74
Kotlin,Programming Languages,4,0.07,75
NumPy,Data Engineering,4,0.07,76
Grafana,Visualization & BI,4,0.07,77
Jenkins,DevOps & MLOps,3,0.05,78
Data Lake,Big Data,3,0.05,79
Airflow,Data Engineering,3,0.05,80
S3,Cloud Platforms,3,0.05,81
Hadoop,Data Engineering,3,0.05,82
Shell Scripting,Programming Languages,3,0.05,83
Angular,Web & API,3,0.05,84
Time Series,DS/ML Concepts,3,0.05,85
Notebooks,Misc Tools,3,0.05,86
MATLAB,Programming Languages,3,0.05,87
Ansible,DevOps & MLOps,3,0.05,88
JSON,Data Formats,3,0.05,89
SQL Server,Databases,2,0.03,90
XML,Data Formats,2,0.03,91
Spring Boot,Web & API,2,0.03,92
Lambda,Cloud Platforms,2,0.03,93
