skill,experience_level,count,percentage,category
Machine Learning,Junior,41,17.08,DS/ML Concepts
Linux,Junior,7,2.92,DevOps & MLOps
LLM,Junior,6,2.5,DS/ML Concepts
Python,Junior,5,2.08,Programming Languages
Generative AI,Junior,4,1.67,DS/ML Concepts
Cybersecurity,Junior,4,1.67,Security
Agile,Junior,4,1.67,Methodologies
NLP,Junior,3,1.25,DS/ML Concepts
Natural Language Processing,Junior,3,1.25,DS/ML Concepts
GCP,Junior,3,1.25,Cloud Platforms
Google Cloud,Junior,3,1.25,Cloud Platforms
Computer Vision,Junior,2,0.83,DS/ML Concepts
Java,Junior,2,0.83,Programming Languages
Data Modeling,Junior,2,0.83,Data Engineering
Classification,Junior,2,0.83,DS/ML Concepts
Statistical Analysis,Junior,2,0.83,DS/ML Concepts
Deep Learning,Junior,1,0.42,DS/ML Concepts
JavaScript,Junior,1,0.42,Programming Languages
TensorFlow,Junior,1,0.42,ML/DL Frameworks
Excel,Junior,1,0.42,Misc Tools
Large Language Models,Junior,1,0.42,DS/ML Concepts
Prompt Engineering,Junior,1,0.42,DS/ML Concepts
Salesforce,Junior,1,0.42,Misc Tools
Dagster,Junior,1,0.42,Data Engineering
PostgreSQL,Junior,1,0.42,Databases
JAX,Junior,1,0.42,ML/DL Frameworks
PyTorch,Junior,1,0.42,ML/DL Frameworks
iOS,Junior,1,0.42,Mobile
Avro,Junior,1,0.42,Data Formats
Data Pipeline,Junior,1,0.42,Data Engineering
Grafana,Junior,1,0.42,Visualization & BI
JSON,Junior,1,0.42,Data Formats
Kafka,Junior,1,0.42,Data Engineering
Prometheus,Junior,1,0.42,DevOps & MLOps
Protobuf,Junior,1,0.42,Data Formats
Scrum,Junior,1,0.42,Methodologies
React,Junior,1,0.42,Web & API
R,Junior,1,0.42,Programming Languages
SAS,Junior,1,0.42,Programming Languages
Machine Learning,Lead,115,19.73,DS/ML Concepts
LLM,Lead,51,8.75,DS/ML Concepts
Generative AI,Lead,37,6.35,DS/ML Concepts
Python,Lead,23,3.95,Programming Languages
iOS,Lead,17,2.92,Mobile
Android,Lead,16,2.74,Mobile
NLP,Lead,15,2.57,DS/ML Concepts
Computer Vision,Lead,14,2.4,DS/ML Concepts
Agile,Lead,13,2.23,Methodologies
AWS,Lead,11,1.89,Cloud Platforms
Large Language Models,Lead,10,1.72,DS/ML Concepts
Azure,Lead,10,1.72,Cloud Platforms
Deep Learning,Lead,9,1.54,DS/ML Concepts
Data Pipeline,Lead,9,1.54,Data Engineering
RAG,Lead,7,1.2,DS/ML Concepts
Classification,Lead,7,1.2,DS/ML Concepts
Prompt Engineering,Lead,6,1.03,DS/ML Concepts
Node.js,Lead,6,1.03,Web & API
React,Lead,5,0.86,Web & API
Cybersecurity,Lead,5,0.86,Security
Natural Language Processing,Lead,5,0.86,DS/ML Concepts
TypeScript,Lead,5,0.86,Programming Languages
Snowflake,Lead,4,0.69,Data Engineering
Reinforcement Learning,Lead,4,0.69,DS/ML Concepts
CI/CD,Lead,3,0.51,DevOps & MLOps
C++,Lead,3,0.51,Programming Languages
GCP,Lead,3,0.51,Cloud Platforms
Express.js,Lead,3,0.51,Web & API
JavaScript,Lead,3,0.51,Programming Languages
MongoDB,Lead,3,0.51,Databases
Kubernetes,Lead,3,0.51,DevOps & MLOps
Databricks,Lead,3,0.51,Data Engineering
Oracle DB,Lead,2,0.34,Databases
Recommendation Systems,Lead,2,0.34,DS/ML Concepts
Google Cloud,Lead,2,0.34,Cloud Platforms
SAP,Lead,2,0.34,Misc Tools
Docker,Lead,2,0.34,DevOps & MLOps
GitHub,Lead,2,0.34,DevOps & MLOps
FastAPI,Lead,2,0.34,Web & API
Grafana,Lead,2,0.34,Visualization & BI
Java,Lead,2,0.34,Programming Languages
Kotlin,Lead,2,0.34,Programming Languages
Unit Testing,Lead,1,0.17,Testing
Jira,Lead,1,0.17,Methodologies
Slack API,Lead,1,0.17,Misc Tools
Regression,Lead,1,0.17,DS/ML Concepts
REST API,Lead,1,0.17,Web & API
ArgoCD,Lead,1,0.17,DevOps & MLOps
GitLab,Lead,1,0.17,DevOps & MLOps
PyTorch,Lead,1,0.17,ML/DL Frameworks
TensorFlow,Lead,1,0.17,ML/DL Frameworks
C#,Lead,1,0.17,Programming Languages
Data Modeling,Lead,1,0.17,Data Engineering
Linux,Lead,1,0.17,DevOps & MLOps
Shell Scripting,Lead,1,0.17,Programming Languages
Machine Learning,Management,20,11.83,DS/ML Concepts
LLM,Management,4,2.37,DS/ML Concepts
Express.js,Management,4,2.37,Web & API
Apache Spark,Management,2,1.18,Data Engineering
Large Language Models,Management,2,1.18,DS/ML Concepts
AWS,Management,2,1.18,Cloud Platforms
ETL,Management,2,1.18,Data Engineering
Python,Management,2,1.18,Programming Languages
Time Series,Management,2,1.18,DS/ML Concepts
