skill,category,count,percentage,rank
Machine Learning,DS/ML Concepts,1066,19.78,1
LLM,DS/ML Concepts,423,7.85,2
Generative AI,DS/ML Concepts,389,7.22,3
Python,Programming Languages,236,4.38,4
Large Language Models,DS/ML Concepts,178,3.3,5
Computer Vision,DS/ML Concepts,168,3.12,6
NLP,DS/ML Concepts,148,2.75,7
Azure,Cloud Platforms,127,2.36,8
Excel,Misc Tools,109,2.02,9
Prompt Engineering,DS/ML Concepts,104,1.93,10
Data Pipeline,Data Engineering,89,1.65,11
Deep Learning,DS/ML Concepts,83,1.54,12
RAG,DS/ML Concepts,81,1.5,13
Agile,Methodologies,74,1.37,14
AWS,Cloud Platforms,69,1.28,15
Natural Language Processing,DS/ML Concepts,67,1.24,16
SQL,Programming Languages,66,1.22,17
Recommendation Systems,DS/ML Concepts,60,1.11,18
Oracle DB,Databases,57,1.06,19
CSS,Web & API,47,0.87,20
iOS,Mobile,45,0.83,21
Android,Mobile,41,0.76,22
GCP,Cloud Platforms,38,0.71,23
Classification,DS/ML Concepts,37,0.69,24
Databricks,Data Engineering,36,0.67,25
CI/CD,DevOps & MLOps,35,0.65,26
Cybersecurity,Security,29,0.54,27
Java,Programming Languages,26,0.48,28
Node.js,Web & API,23,0.43,29
PyTorch,ML/DL Frameworks,21,0.39,30
PostgreSQL,Databases,20,0.37,31
Google Cloud,Cloud Platforms,19,0.35,32
Model Deployment,DS/ML Concepts,19,0.35,33
Snowflake,Data Engineering,17,0.32,34
Docker,DevOps & MLOps,17,0.32,35
Apache Spark,Data Engineering,16,0.3,36
MySQL,Databases,16,0.3,37
Express.js,Web & API,16,0.3,38
Linux,DevOps & MLOps,15,0.28,39
JavaScript,Programming Languages,15,0.28,40
React,Web & API,15,0.28,41
Reinforcement Learning,DS/ML Concepts,14,0.26,42
Kubernetes,DevOps & MLOps,14,0.26,43
ETL,Data Engineering,13,0.24,44
TensorFlow,ML/DL Frameworks,13,0.24,45
Salesforce,Misc Tools,13,0.24,46
MongoDB,Databases,12,0.22,47
Data Modeling,Data Engineering,12,0.22,48
Statistical Analysis,DS/ML Concepts,11,0.2,49
GitHub,DevOps & MLOps,11,0.2,50
Git,DevOps & MLOps,11,0.2,51
C++,Programming Languages,11,0.2,52
R,Programming Languages,10,0.19,53
TypeScript,Programming Languages,10,0.19,54
SAP,Misc Tools,10,0.19,55
Power BI,Visualization & BI,9,0.17,56
Slack API,Misc Tools,9,0.17,57
Feature Engineering,DS/ML Concepts,8,0.15,58
Data Warehousing,Data Engineering,8,0.15,59
C#,Programming Languages,7,0.13,60
Tableau,Visualization & BI,7,0.13,61
Neural Networks,DS/ML Concepts,7,0.13,62
Hugging Face,ML/DL Frameworks,7,0.13,63
SageMaker,Cloud Platforms,7,0.13,64
scikit-learn,ML/DL Frameworks,7,0.13,65
Scrum,Methodologies,6,0.11,66
FastAPI,Web & API,6,0.11,67
Regression,DS/ML Concepts,6,0.11,68
MLflow,ML/DL Frameworks,5,0.09,69
GitLab,DevOps & MLOps,5,0.09,70
Scala,Programming Languages,5,0.09,71
Gradient Boosting,DS/ML Concepts,5,0.09,72
Vue.js,Web & API,5,0.09,73
Grafana,Visualization & BI,4,0.07,74
NumPy,Data Engineering,4,0.07,75
Kotlin,Programming Languages,4,0.07,76
Pandas,Data Engineering,4,0.07,77
MATLAB,Programming Languages,3,0.06,78
S3,Cloud Platforms,3,0.06,79
Hadoop,Data Engineering,3,0.06,80
Shell Scripting,Programming Languages,3,0.06,81
Jenkins,DevOps & MLOps,3,0.06,82
Airflow,Data Engineering,3,0.06,83
Ansible,DevOps & MLOps,3,0.06,84
Time Series,DS/ML Concepts,3,0.06,85
Notebooks,Misc Tools,3,0.06,86
Data Lake,Big Data,3,0.06,87
JSON,Data Formats,3,0.06,88
Angular,Web & API,3,0.06,89
Spring Boot,Web & API,2,0.04,90
dbt,Data Engineering,2,0.04,91
Lambda,Cloud Platforms,2,0.04,92
A/B Testing,DS/ML Concepts,2,0.04,93
Keras,ML/DL Frameworks,2,0.04,94
Apache Beam,Data Engineering,2,0.04,95
XML,Data Formats,2,0.04,96
SQL Server,Databases,2,0.04,97
Redis,Databases,2,0.04,98
XGBoost,ML/DL Frameworks,2,0.04,99
Flask,Web & API,2,0.04,100
Amazon Web Services,Cloud Platforms,2,0.04,101
Delta Lake,Big Data,2,0.04,102
PHP,Programming Languages,2,0.04,103
Terraform,Cloud Platforms,2,0.04,104
Kafka,Data Engineering,2,0.04,105
Kubeflow,ML/DL Frameworks,2,0.04,106
Jupyter,Misc Tools,2,0.04,107
JAX,ML/DL Frameworks,1,0.02,108
Unit Testing,Testing,1,0.02,109
Jira,Methodologies,1,0.02,110
EC2,Cloud Platforms,1,0.02,111
PySpark,Data Engineering,1,0.02,112
Ray,ML/DL Frameworks,1,0.02,113
BigQuery,Cloud Platforms,1,0.02,114
Apache Flink,Data Engineering,1,0.02,115
ArgoCD,DevOps & MLOps,1,0.02,116
REST API,Web & API,1,0.02,117
Looker,Visualization & BI,1,0.02,118
Qlik,Visualization & BI,1,0.02,119
Dash,Visualization & BI,1,0.02,120
React Native,Mobile,1,0.02,121
OpenCV,ML/DL Frameworks,1,0.02,122
SOC 2,Security,1,0.02,123
Elasticsearch,Databases,1,0.02,124
Dagster,Data Engineering,1,0.02,125
Go,Programming Languages,1,0.02,126
Rust,Programming Languages,1,0.02,127
Avro,Data Formats,1,0.02,128
Prometheus,DevOps & MLOps,1,0.02,129
Protobuf,Data Formats,1,0.02,130
Matplotlib,Visualization & BI,1,0.02,131
Seaborn,Visualization & BI,1,0.02,132
Selenium,Testing,1,0.02,133
Kanban,Methodologies,1,0.02,134
